2026-07-01T07:03:47.779161+00:00 | status=ok | changed=True | finished_matches=77 | eliminated=23 | new_eliminated=2 | published=True | detail=2026-07-01T070347Z.json
2026-07-01T09:17:54.130762+00:00 | status=ok | changed=False | finished_matches=77 | eliminated=23 | new_eliminated=0 | published=True | detail=2026-07-01T091754Z.json
2026-07-01T19:46:53.194150+00:00 | status=ok | changed=True | finished_matches=78 | eliminated=24 | new_eliminated=1 | published=True | detail=2026-07-01T194653Z.json
2026-07-01T20:40:49.274034+00:00 | status=ok | changed=False | finished_matches=78 | eliminated=24 | new_eliminated=0 | published=True | detail=2026-07-01T204049Z.json
2026-07-02T06:16:29.831513+00:00 | status=ok | changed=True | finished_matches=79 | eliminated=26 | new_eliminated=2 | published=True | detail=2026-07-02T061630Z.json
2026-07-02T09:11:55.304943+00:00 | status=ok | changed=False | finished_matches=79 | eliminated=26 | new_eliminated=0 | published=True | detail=2026-07-02T091155Z.json
2026-07-02T21:14:23.593254+00:00 | status=ok | changed=True | finished_matches=80 | eliminated=27 | new_eliminated=1 | published=True | detail=2026-07-02T211423Z.json
2026-07-03T06:17:25.272264+00:00 | status=ok | changed=True | finished_matches=82 | eliminated=29 | new_eliminated=2 | published=True | detail=2026-07-03T061725Z.json
2026-07-03T10:42:23.711728+00:00 | status=ok | changed=False | finished_matches=82 | eliminated=29 | new_eliminated=0 | published=True | detail=2026-07-03T104224Z.json
2026-07-03T21:13:12.835822+00:00 | status=ok | changed=True | finished_matches=82 | eliminated=30 | new_eliminated=1 | published=True | detail=2026-07-03T211313Z.json
2026-07-04T10:16:02.361965+00:00 | status=ok | changed=True | finished_matches=83 | eliminated=32 | new_eliminated=2 | published=True | detail=2026-07-04T101602Z.json
2026-07-04T21:03:43.538537+00:00 | status=ok | changed=True | finished_matches=84 | eliminated=33 | new_eliminated=1 | published=True | detail=2026-07-04T210343Z.json
2026-07-05T07:23:23.084314+00:00 | status=ok | changed=True | finished_matches=85 | eliminated=34 | new_eliminated=1 | published=True | detail=2026-07-05T072323Z.json
2026-07-05T10:21:22.439892+00:00 | status=ok | changed=False | finished_matches=85 | eliminated=34 | new_eliminated=0 | published=True | detail=2026-07-05T102122Z.json
2026-07-05T21:07:25.903358+00:00 | status=ok | changed=False | finished_matches=85 | eliminated=34 | new_eliminated=0 | published=True | detail=2026-07-05T210726Z.json
2026-07-06T08:46:05.553350+00:00 | status=ok | changed=True | finished_matches=87 | eliminated=36 | new_eliminated=2 | published=True | detail=2026-07-06T084605Z.json
2026-07-06T12:08:35.447462+00:00 | status=ok | changed=False | finished_matches=87 | eliminated=36 | new_eliminated=0 | published=True | detail=2026-07-06T120836Z.json
2026-07-06T21:40:11.613906+00:00 | status=ok | changed=True | finished_matches=88 | eliminated=37 | new_eliminated=1 | published=True | detail=2026-07-06T214011Z.json
2026-07-07T06:28:14.969758+00:00 | status=ok | changed=True | finished_matches=89 | eliminated=38 | new_eliminated=1 | published=True | detail=2026-07-07T062815Z.json
